,clients,purchases,revenue,avg_check,revenue_min,revenue_max
2026-07-01,349.0,650.0,380637.0,586.0,379472.0,381884.0
2026-08-01,411.0,761.0,441948.0,580.0,438263.0,445912.0
2026-09-01,435.0,824.0,481682.0,585.0,474920.0,488995.0
2026-10-01,511.0,1000.0,591904.0,592.0,580323.0,604503.0
2026-11-01,520.0,1032.0,615356.0,596.0,599946.0,632217.0
2026-12-01,496.0,965.0,574425.0,595.0,556908.0,593701.0
2027-01-01,431.0,806.0,476996.0,592.0,459816.0,496012.0
2027-02-01,361.0,658.0,390768.0,594.0,374591.0,408779.0
2027-03-01,417.0,769.0,463430.0,603.0,441765.0,487689.0
2027-04-01,451.0,855.0,525556.0,614.0,498173.0,556398.0
2027-05-01,500.0,964.0,598444.0,621.0,564095.0,637356.0
2027-06-01,469.0,897.0,554725.0,619.0,519948.0,594353.0
